iter	Passed	Remaining
0	187	186943
1	188	93998
2	189	62971
3	190	47385
4	191	38038
5	191	31803
6	192	27345
7	193	24004
8	194	21404
9	195	19324
10	196	17622
11	196	16204
12	197	15001
13	198	13982
14	199	13102
15	200	12335
16	201	11645
17	202	11043
18	203	10493
19	204	9998
20	204	9550
21	205	9143
22	206	8771
23	207	8430
24	208	8116
25	208	7827
26	209	7558
27	210	7308
28	211	7076
29	212	6859
30	212	6657
31	213	6473
32	214	6296
33	215	6133
34	216	5977
35	217	5827
36	218	5684
37	219	5550
38	220	5421
39	220	5299
40	221	5183
41	222	5073
42	223	4967
43	223	4866
44	224	4769
45	225	4676
46	226	4588
47	227	4506
48	228	4427
49	229	4351
50	229	4277
51	230	4204
52	231	4134
53	232	4066
54	232	4001
55	233	3938
56	234	3877
57	235	3819
58	235	3762
59	236	3707
60	237	3654
61	238	3603
62	238	3553
63	239	3505
64	240	3459
65	241	3413
66	242	3379
67	243	3337
68	244	3295
69	245	3255
70	245	3215
71	246	3177
72	247	3140
73	248	3103
74	248	3068
75	249	3033
76	250	2999
77	251	2966
78	251	2935
79	252	2903
80	253	2873
81	253	2843
82	254	2810
83	255	2782
84	256	2763
85	257	2740
86	258	2715
87	259	2690
88	260	2667
89	261	2645
90	262	2622
91	263	2599
92	264	2576
93	264	2554
94	265	2531
95	266	2510
96	267	2488
97	268	2467
98	268	2447
99	269	2427
100	270	2408
101	271	2390
102	272	2372
103	273	2354
104	274	2336
105	274	2318
106	275	2300
107	276	2283
108	277	2265
109	277	2248
110	278	2232
111	279	2215
112	280	2199
113	280	2183
114	281	2168
115	282	2152
116	283	2136
117	284	2123
118	284	2109
119	285	2094
120	286	2082
121	287	2067
122	288	2054
123	288	2040
124	289	2027
125	290	2014
126	291	2000
127	291	1987
128	292	1975
129	293	1963
130	294	1950
131	294	1938
132	295	1926
133	296	1914
134	297	1905
135	298	1894
136	298	1882
137	299	1871
138	300	1860
139	301	1852
140	302	1841
141	302	1830
142	303	1819
143	304	1809
144	305	1799
145	305	1789
146	306	1779
147	307	1769
148	308	1760
149	308	1750
150	309	1741
151	310	1732
152	311	1723
153	312	1714
154	312	1705
155	313	1696
156	314	1688
157	315	1679
158	316	1671
159	316	1663
160	317	1653
161	318	1645
162	318	1637
163	319	1629
164	320	1621
165	321	1613
166	321	1605
167	322	1598
168	323	1590
169	324	1582
170	325	1575
171	325	1568
172	326	1561
173	327	1553
174	328	1546
175	328	1539
176	329	1532
177	330	1525
178	331	1519
179	332	1512
180	332	1505
181	333	1499
182	334	1492
183	335	1485
184	335	1479
185	336	1472
186	337	1466
187	338	1459
188	338	1453
189	339	1447
190	340	1441
191	341	1435
192	341	1429
193	342	1423
194	343	1417
195	344	1411
196	344	1405
197	345	1400
198	346	1394
199	347	1388
200	347	1383
201	348	1377
202	349	1372
203	350	1366
204	350	1361
205	351	1355
206	352	1350
207	353	1345
208	354	1339
209	354	1334
210	355	1329
211	356	1324
212	357	1319
213	357	1314
214	358	1309
215	359	1304
216	360	1299
217	360	1294
218	361	1289
219	362	1284
220	363	1280
221	363	1275
222	364	1270
223	365	1265
224	366	1261
225	366	1256
226	367	1252
227	368	1247
228	369	1243
229	370	1238
230	370	1234
231	371	1229
232	372	1225
233	373	1221
234	373	1216
235	374	1212
236	375	1209
237	376	1205
238	377	1201
239	378	1197
240	379	1193
241	379	1189
242	380	1186
243	381	1182
244	382	1178
245	383	1174
246	383	1170
247	384	1166
248	385	1162
249	386	1158
250	387	1154
251	387	1151
252	388	1147
253	389	1144
254	390	1140
255	391	1136
256	391	1132
257	392	1128
258	393	1124
259	393	1120
260	394	1116
261	394	1112
262	395	1108
263	396	1104
264	396	1100
265	397	1096
266	398	1092
267	398	1088
268	399	1085
269	399	1081
270	400	1077
271	401	1073
272	401	1070
273	402	1066
274	403	1062
275	403	1058
276	404	1055
277	405	1051
278	405	1048
279	406	1044
280	406	1041
281	407	1037
282	408	1034
283	408	1030
284	409	1026
285	409	1023
286	410	1020
287	411	1016
288	411	1013
289	412	1009
290	412	1006
291	413	1002
292	414	999
293	414	996
294	415	992
295	416	989
296	416	986
297	417	982
298	417	979
299	418	976
300	419	973
301	419	970
302	420	966
303	420	963
304	421	960
305	422	957
306	422	954
307	423	950
308	423	947
309	424	944
310	424	941
311	425	938
312	426	935
313	426	932
314	427	929
315	427	925
316	428	922
317	428	919
318	429	916
319	430	913
320	430	910
321	431	907
322	431	904
323	432	901
324	432	898
325	433	896
326	433	893
327	434	890
328	435	887
329	435	884
330	436	881
331	436	878
332	437	875
333	437	873
334	438	870
335	438	867
336	439	864
337	439	861
338	440	859
339	441	856
340	441	853
341	442	850
342	442	847
343	443	845
344	443	842
345	444	839
346	444	837
