iter	Passed	Remaining
0	1	135
1	2	120
2	3	114
3	4	108
4	6	119
5	7	116
6	8	114
7	10	116
8	11	114
9	12	112
10	13	109
11	14	107
12	15	104
13	16	102
14	18	105
15	19	103
16	20	101
17	22	102
18	24	102
19	25	100
20	26	100
21	28	99
22	29	97
23	30	95
24	31	93
25	32	92
26	33	91
27	34	89
28	35	87
29	36	85
30	37	84
31	38	82
32	40	81
33	41	80
34	42	78
35	43	77
36	44	75
37	45	73
38	46	72
39	47	70
40	47	69
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	52	59
47	53	58
48	54	57
49	55	55
50	56	54
51	57	53
52	59	52
53	59	51
54	60	49
55	61	48
56	62	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	41
63	71	39
64	72	38
65	73	37
66	74	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	82	27
75	83	26
76	84	25
77	85	23
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
